type,text
2, "щцфш  вфчс ивыяиа уыа шащыф"
2, "жфшсмту уотиячлут щфвц мут чвоз хйц мыу "
2, "ыуаадщ фля млвмшу8е фуцфцвфц"
1, "лучшие три слова сейчас скажу"
1, "а у кого есть вторая лаба по садовой? во вложениях не могу найти"
0, "Тем более что именно сейчас качественные европейские материалы продаются со скидкой 70%."
1, "ну думал помочь обсудить ибо писать за вас я не собираюсь"
2, "уа зщ ыиаылфопвцфг  аыуа .ыуа .щ аогцзщ0 в фцщфрцаф к фзцоафаьывясам"
1, "Передай группе что я сегодня не смогу попасть на пару! Поэтому сегодня все желающие сдать отправляют отчёт о проделанной лабе мне на почту"
2, "шггыу мфвфц тчт лурыа рщыуаы щзшпгвщш  уарыи вфцвн  яуцф"2, " удщ шпщкоп у ц рцща ф авфц вф "
2, "фц ш и-чв уыа уфа ыав моывауыа  фцавфзвсфц"
2, "фцв я ячсчм и.ми им бьдимдтз нхх фцвфв впиер кгш рв"
0, "Обращайтесь в любое время наши специалисты всегда придут на помощь."
2, "фцщвз  5нпркезасч ивс рлв4 уогп05у ыауд"
0, "«Шар идеальная форма» является уникальной торговой площадкой с широким ассортиментом от производителей из разных стран. В магазине собраны модели от известных дизайнеров Турции России и Беларуси. Магазин «Шар идеальная форма я» позволяет любой моднице получить желаемый товар по доступным ценам. Спешите оформить заказ и менеджеры мигом доставят его вам. Для постоянных клиентов действует система скидок."
1, "вы сегодня будите делать какие нить лабы?"
2, "фцвфцв фцв фц фцв рл чсм т ьтяшцщ гр пив у3 ф "
2, "пкушропщш рщгр фщцвршфгк 3фа уыф"
0, "Спешите предложение ограничено."
0, "Спешите приобрести новую вышивальную машину «Матрикс 10» которая обладает уникальными возможностями и работает в семь раз быстрее промышленного аналога. При этом машинка выдает качественную стежку сравнимую с ручной работой. Торопитесь тест-драйв уже скоро."
0, "Это прекрасно оформленная книга которая станет настоящей жемчужиной любой библиотеки. В книге можно найти."
0, "Магазин «Шар идеальная форма» предлагает одежду больших размеров дамам имеющим завидные формы."
2, "цфвщш  аыра н цш3 каыучвтмуыо  цауы ФЫ УЦ"
1, "Кто на допы проектирование ис и экономика информатики отпишитесь"
2, "adaw da dawdfawc adw"
1, "Привет. Ты сделал лабораторную работу?"
1, "Привет. Вы будете делать лабу 4 по ступиной или по климовой да или еще какую-нибудь сегодня или завтра?"
1, "по ссылке не началась конференция"
0, "С 12 мая 2017 года в магазине «Три Березы» начнется распродажа тканей и необходимых аксессуаров."
2, "klsafh  fhueshan  kzdnep e "
0, "начнется распродажа тканей и косметики"
1, "Блин это может быть крутое приложение а мне приходиться так над ним издеваться"
1, "у вас не возникало вопроса как русик физрук носит маску"
1, "Шаблонизатор использовал для этого"
0, "Книжный магазин предлагает всем заинтересованным лицам издание «Африканских сказок»."
2, " фвфцр чврм чмщуыоа щшоыуза звкполдчатдвуыу  фцв фвфцв чвм ачм"
1, "так происходит со всеми компаниями и со всеми языками"
1, "я чисто пришел посмотреть как дедуктор-хуюктор сдается"
2, "фцв фцв фцвфцсвцфцвфцв ф вфцв фцв фцвфцвфцвфц"
0, "В салоне «Невеста» можно не только найти разные модели свадебных платьев но при необходимости очень быстро подогнать его под фигуру."
0, "Свадебный салон «Невеста» всегда готов помочь влюбленным людям соединиться. Тут работают профессионалы которые знают насколько волнительным вопросом может стать выбор свадебного платья для невесты."
1, "Привет. Как дела?"
1, "Отлично. Я как раз приеду"
1, "Мне же надо как то данные отобразить"
1, "не могу понять почему не существует дива"
1, "а кто вообще на майстра кроме меня пойдёт?"
